job_id,pair_id,side,concept,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
09-negative-sample-000-seed-609,09,negative,percussive_sustained,0,609,3.5,50,4.0,a sustained harmonica note held steadily,/outputs/percussive-sustained-v1/09/negative/09-negative-sample-000-seed-609.wav,44100,1.983,declare-lab/TangoFlux,ok,
10-positive-sample-000-seed-610,10,positive,percussive_sustained,0,610,3.5,50,4.0,a percussive ceramic cup taps a saucer once,/outputs/percussive-sustained-v1/10/positive/10-positive-sample-000-seed-610.wav,44100,1.765,declare-lab/TangoFlux,ok,
10-negative-sample-000-seed-610,10,negative,percussive_sustained,0,610,3.5,50,4.0,a sustained singing bowl tone rings steadily,/outputs/percussive-sustained-v1/10/negative/10-negative-sample-000-seed-610.wav,44100,2.039,declare-lab/TangoFlux,ok,
11-positive-sample-000-seed-611,11,positive,percussive_sustained,0,611,3.5,50,4.0,a percussive hand drum slap once,/outputs/percussive-sustained-v1/11/positive/11-positive-sample-000-seed-611.wav,44100,2.617,declare-lab/TangoFlux,ok,
11-negative-sample-000-seed-611,11,negative,percussive_sustained,0,611,3.5,50,4.0,a sustained accordion note held gently,/outputs/percussive-sustained-v1/11/negative/11-negative-sample-000-seed-611.wav,44100,1.958,declare-lab/TangoFlux,ok,
12-positive-sample-000-seed-612,12,positive,percussive_sustained,0,612,3.5,50,4.0,a percussive door knock once,/outputs/percussive-sustained-v1/12/positive/12-positive-sample-000-seed-612.wav,44100,2.838,declare-lab/TangoFlux,ok,
12-negative-sample-000-seed-612,12,negative,percussive_sustained,0,612,3.5,50,4.0,a sustained clarinet note held steadily,/outputs/percussive-sustained-v1/12/negative/12-negative-sample-000-seed-612.wav,44100,1.823,declare-lab/TangoFlux,ok,
13-positive-sample-000-seed-613,13,positive,percussive_sustained,0,613,3.5,50,4.0,a percussive metal spoon clicks once,/outputs/percussive-sustained-v1/13/positive/13-positive-sample-000-seed-613.wav,44100,1.896,declare-lab/TangoFlux,ok,
13-negative-sample-000-seed-613,13,negative,percussive_sustained,0,613,3.5,50,4.0,a sustained glass harmonica tone rings,/outputs/percussive-sustained-v1/13/negative/13-negative-sample-000-seed-613.wav,44100,2.005,declare-lab/TangoFlux,ok,
14-positive-sample-000-seed-614,14,positive,percussive_sustained,0,614,3.5,50,4.0,a percussive basketball bounce once,/outputs/percussive-sustained-v1/14/positive/14-positive-sample-000-seed-614.wav,44100,2.011,declare-lab/TangoFlux,ok,
14-negative-sample-000-seed-614,14,negative,percussive_sustained,0,614,3.5,50,4.0,a sustained low drone held steadily,/outputs/percussive-sustained-v1/14/negative/14-negative-sample-000-seed-614.wav,44100,1.837,declare-lab/TangoFlux,ok,
15-positive-sample-000-seed-615,15,positive,percussive_sustained,0,615,3.5,50,4.0,a percussive marimba bar is struck once,/outputs/percussive-sustained-v1/15/positive/15-positive-sample-000-seed-615.wav,44100,1.971,declare-lab/TangoFlux,ok,
15-negative-sample-000-seed-615,15,negative,percussive_sustained,0,615,3.5,50,4.0,a sustained vibraphone note rings softly,/outputs/percussive-sustained-v1/15/negative/15-negative-sample-000-seed-615.wav,44100,1.98,declare-lab/TangoFlux,ok,
16-positive-sample-000-seed-616,16,positive,percussive_sustained,0,616,3.5,50,4.0,a percussive stapler clicks once,/outputs/percussive-sustained-v1/16/positive/16-positive-sample-000-seed-616.wav,44100,2.553,declare-lab/TangoFlux,ok,
16-negative-sample-000-seed-616,16,negative,percussive_sustained,0,616,3.5,50,4.0,a sustained electric guitar note held with no attack,/outputs/percussive-sustained-v1/16/negative/16-negative-sample-000-seed-616.wav,44100,3.852,declare-lab/TangoFlux,ok,
17-positive-sample-000-seed-617,17,positive,percussive_sustained,0,617,3.5,50,4.0,a percussive kick drum thump once,/outputs/percussive-sustained-v1/17/positive/17-positive-sample-000-seed-617.wav,44100,1.943,declare-lab/TangoFlux,ok,
17-negative-sample-000-seed-617,17,negative,percussive_sustained,0,617,3.5,50,4.0,a sustained bass note held steadily,/outputs/percussive-sustained-v1/17/negative/17-negative-sample-000-seed-617.wav,44100,1.942,declare-lab/TangoFlux,ok,
18-positive-sample-000-seed-618,18,positive,percussive_sustained,0,618,3.5,50,4.0,a percussive castanet click once,/outputs/percussive-sustained-v1/18/positive/18-positive-sample-000-seed-618.wav,44100,2.78,declare-lab/TangoFlux,ok,
18-negative-sample-000-seed-618,18,negative,percussive_sustained,0,618,3.5,50,4.0,a sustained oboe note held steadily,/outputs/percussive-sustained-v1/18/negative/18-negative-sample-000-seed-618.wav,44100,1.828,declare-lab/TangoFlux,ok,
19-positive-sample-000-seed-619,19,positive,percussive_sustained,0,619,3.5,50,4.0,a percussive stone hits a tile once,/outputs/percussive-sustained-v1/19/positive/19-positive-sample-000-seed-619.wav,44100,2.082,declare-lab/TangoFlux,ok,
19-negative-sample-000-seed-619,19,negative,percussive_sustained,0,619,3.5,50,4.0,a sustained wind chime tone rings softly,/outputs/percussive-sustained-v1/19/negative/19-negative-sample-000-seed-619.wav,44100,1.93,declare-lab/TangoFlux,ok,
20-positive-sample-000-seed-620,20,positive,percussive_sustained,0,620,3.5,50,4.0,a percussive tambourine hit once,/outputs/percussive-sustained-v1/20/positive/20-positive-sample-000-seed-620.wav,44100,2.106,declare-lab/TangoFlux,ok,
20-negative-sample-000-seed-620,20,negative,percussive_sustained,0,620,3.5,50,4.0,a sustained brass note held steadily,/outputs/percussive-sustained-v1/20/negative/20-negative-sample-000-seed-620.wav,44100,2.194,declare-lab/TangoFlux,ok,
