job_id,pair_id,side,concept,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
06-positive-sample-000-seed-306,06,positive,clear_muffled,0,306,3.0,50,4.0,a clear alarm beep sounds three times nearby,/outputs/clear-muffled-v1/06/positive/06-positive-sample-000-seed-306.wav,44100,1.939,declare-lab/TangoFlux,ok,
06-negative-sample-000-seed-306,06,negative,clear_muffled,0,306,3.0,50,4.0,a muffled alarm beep sounds three times from inside a drawer,/outputs/clear-muffled-v1/06/negative/06-negative-sample-000-seed-306.wav,44100,1.918,declare-lab/TangoFlux,ok,
07-positive-sample-000-seed-307,07,positive,clear_muffled,0,307,3.0,50,4.0,clear coins clink on a ceramic plate,/outputs/clear-muffled-v1/07/positive/07-positive-sample-000-seed-307.wav,44100,1.873,declare-lab/TangoFlux,ok,
07-negative-sample-000-seed-307,07,negative,clear_muffled,0,307,3.0,50,4.0,muffled coins clink on a plate covered by thick cloth,/outputs/clear-muffled-v1/07/negative/07-negative-sample-000-seed-307.wav,44100,1.978,declare-lab/TangoFlux,ok,
08-positive-sample-000-seed-308,08,positive,clear_muffled,0,308,3.0,50,4.0,a clear bicycle bell rings once on a quiet street,/outputs/clear-muffled-v1/08/positive/08-positive-sample-000-seed-308.wav,44100,1.909,declare-lab/TangoFlux,ok,
08-negative-sample-000-seed-308,08,negative,clear_muffled,0,308,3.0,50,4.0,a muffled bicycle bell rings once from inside a bag,/outputs/clear-muffled-v1/08/negative/08-negative-sample-000-seed-308.wav,44100,2.122,declare-lab/TangoFlux,ok,
09-positive-sample-000-seed-309,09,positive,clear_muffled,0,309,3.0,50,4.0,a clear typewriter carriage bell dings once,/outputs/clear-muffled-v1/09/positive/09-positive-sample-000-seed-309.wav,44100,1.96,declare-lab/TangoFlux,ok,
09-negative-sample-000-seed-309,09,negative,clear_muffled,0,309,3.0,50,4.0,a muffled typewriter carriage bell dings behind a closed door,/outputs/clear-muffled-v1/09/negative/09-negative-sample-000-seed-309.wav,44100,2.069,declare-lab/TangoFlux,ok,
10-positive-sample-000-seed-310,10,positive,clear_muffled,0,310,3.0,50,4.0,clear ice cubes clink sharply in a glass,/outputs/clear-muffled-v1/10/positive/10-positive-sample-000-seed-310.wav,44100,1.979,declare-lab/TangoFlux,ok,
10-negative-sample-000-seed-310,10,negative,clear_muffled,0,310,3.0,50,4.0,muffled ice cubes clink softly inside a covered cup,/outputs/clear-muffled-v1/10/negative/10-negative-sample-000-seed-310.wav,44100,1.89,declare-lab/TangoFlux,ok,
11-positive-sample-000-seed-311,11,positive,clear_muffled,0,311,3.0,50,4.0,a clear phone notification chime rings once nearby,/outputs/clear-muffled-v1/11/positive/11-positive-sample-000-seed-311.wav,44100,1.97,declare-lab/TangoFlux,ok,
11-negative-sample-000-seed-311,11,negative,clear_muffled,0,311,3.0,50,4.0,a muffled phone notification chime rings once inside a backpack,/outputs/clear-muffled-v1/11/negative/11-negative-sample-000-seed-311.wav,44100,1.795,declare-lab/TangoFlux,ok,
12-positive-sample-000-seed-312,12,positive,clear_muffled,0,312,3.0,50,4.0,clear scissors snip once close to the microphone,/outputs/clear-muffled-v1/12/positive/12-positive-sample-000-seed-312.wav,44100,1.939,declare-lab/TangoFlux,ok,
12-negative-sample-000-seed-312,12,negative,clear_muffled,0,312,3.0,50,4.0,muffled scissors snip once under a folded towel,/outputs/clear-muffled-v1/12/negative/12-negative-sample-000-seed-312.wav,44100,1.93,declare-lab/TangoFlux,ok,
13-positive-sample-000-seed-313,13,positive,clear_muffled,0,313,3.0,50,4.0,a clear zipper zips closed quickly,/outputs/clear-muffled-v1/13/positive/13-positive-sample-000-seed-313.wav,44100,2.189,declare-lab/TangoFlux,ok,
13-negative-sample-000-seed-313,13,negative,clear_muffled,0,313,3.0,50,4.0,a muffled zipper zips closed under thick fabric,/outputs/clear-muffled-v1/13/negative/13-negative-sample-000-seed-313.wav,44100,1.889,declare-lab/TangoFlux,ok,
14-positive-sample-000-seed-314,14,positive,clear_muffled,0,314,3.0,50,4.0,clear finger snaps sound twice in a dry room,/outputs/clear-muffled-v1/14/positive/14-positive-sample-000-seed-314.wav,44100,1.912,declare-lab/TangoFlux,ok,
14-negative-sample-000-seed-314,14,negative,clear_muffled,0,314,3.0,50,4.0,muffled finger snaps sound twice behind a pillow,/outputs/clear-muffled-v1/14/negative/14-negative-sample-000-seed-314.wav,44100,2.079,declare-lab/TangoFlux,ok,
15-positive-sample-000-seed-315,15,positive,clear_muffled,0,315,3.0,50,4.0,a clear triangle instrument is struck once,/outputs/clear-muffled-v1/15/positive/15-positive-sample-000-seed-315.wav,44100,2.016,declare-lab/TangoFlux,ok,
15-negative-sample-000-seed-315,15,negative,clear_muffled,0,315,3.0,50,4.0,a muffled triangle instrument is struck once with a cloth cover,/outputs/clear-muffled-v1/15/negative/15-negative-sample-000-seed-315.wav,44100,2.13,declare-lab/TangoFlux,ok,
16-positive-sample-000-seed-316,16,positive,clear_muffled,0,316,3.0,50,4.0,clear glass marbles click across a tile floor,/outputs/clear-muffled-v1/16/positive/16-positive-sample-000-seed-316.wav,44100,1.937,declare-lab/TangoFlux,ok,
16-negative-sample-000-seed-316,16,negative,clear_muffled,0,316,3.0,50,4.0,muffled glass marbles click under a thick rug,/outputs/clear-muffled-v1/16/negative/16-negative-sample-000-seed-316.wav,44100,1.9,declare-lab/TangoFlux,ok,
17-positive-sample-000-seed-317,17,positive,clear_muffled,0,317,3.0,50,4.0,a clear microwave beep sounds once nearby,/outputs/clear-muffled-v1/17/positive/17-positive-sample-000-seed-317.wav,44100,2.013,declare-lab/TangoFlux,ok,
17-negative-sample-000-seed-317,17,negative,clear_muffled,0,317,3.0,50,4.0,a muffled microwave beep sounds once from another room,/outputs/clear-muffled-v1/17/negative/17-negative-sample-000-seed-317.wav,44100,2.78,declare-lab/TangoFlux,ok,
18-positive-sample-000-seed-318,18,positive,clear_muffled,0,318,3.0,50,4.0,clear metal wind chimes ring briefly,/outputs/clear-muffled-v1/18/positive/18-positive-sample-000-seed-318.wav,44100,2.257,declare-lab/TangoFlux,ok,
18-negative-sample-000-seed-318,18,negative,clear_muffled,0,318,3.0,50,4.0,muffled metal wind chimes ring behind a heavy curtain,/outputs/clear-muffled-v1/18/negative/18-negative-sample-000-seed-318.wav,44100,1.958,declare-lab/TangoFlux,ok,
19-positive-sample-000-seed-319,19,positive,clear_muffled,0,319,3.0,50,4.0,a clear doorbell chime rings once,/outputs/clear-muffled-v1/19/positive/19-positive-sample-000-seed-319.wav,44100,2.046,declare-lab/TangoFlux,ok,
19-negative-sample-000-seed-319,19,negative,clear_muffled,0,319,3.0,50,4.0,a muffled doorbell chime rings through a closed door,/outputs/clear-muffled-v1/19/negative/19-negative-sample-000-seed-319.wav,44100,1.805,declare-lab/TangoFlux,ok,
20-positive-sample-000-seed-320,20,positive,clear_muffled,0,320,3.0,50,4.0,clear ceramic plates clink together once,/outputs/clear-muffled-v1/20/positive/20-positive-sample-000-seed-320.wav,44100,2.014,declare-lab/TangoFlux,ok,
20-negative-sample-000-seed-320,20,negative,clear_muffled,0,320,3.0,50,4.0,muffled ceramic plates clink together under a towel,/outputs/clear-muffled-v1/20/negative/20-negative-sample-000-seed-320.wav,44100,2.157,declare-lab/TangoFlux,ok,
